studyID,effectID,r,n,age,year,design
1,1,-0.12,80,7.2,2015,cross-sectional
1,2,-0.08,80,7.2,2015,cross-sectional
2,1,-0.20,110,8.4,2017,longitudinal
2,2,-0.16,110,8.4,2017,longitudinal
3,1,-0.05,65,6.8,2018,cross-sectional
3,2,-0.09,65,6.8,2018,cross-sectional
4,1,-0.18,140,9.1,2019,longitudinal
4,2,-0.14,140,9.1,2019,longitudinal
5,1,-0.10,95,7.9,2020,cross-sectional
5,2,-0.07,95,7.9,2020,cross-sectional
6,1,-0.22,125,10.2,2021,longitudinal
6,2,-0.15,125,10.2,2021,longitudinal
7,1,-0.06,75,6.5,2022,cross-sectional
7,2,-0.11,75,6.5,2022,cross-sectional
8,1,-0.17,105,8.8,2023,longitudinal
8,2,-0.13,105,8.8,2023,longitudinal

